journal,abstract
Journal of Linguistic Geography,"This paper studies the perception of regional variation in Russian among young Russian nonlinguists in Moscow, Perm, and Novosibirsk. I explore the labels used in 55 perceptual maps and categorize them in order to investigate the perceived character of regional variation among young Russians, including their explanations for regional variation. The data analysis shows that claims about regional variation are based on the informants’ assessments of variation in Russian, but also on assessments of domains that they perceive as related to regional variation: style and accent, as well as extralinguistic features such as geography and climate. Based on this analysis, I argue that the line between regional language variation and other variations can be conceived of as fuzzy."
Journal of Linguistic Geography,"By means of the first comprehensive apparent-time study of Austria’s traditional dialects, this paper explores the use of adnominal syntactic constructions of expressing the semantic relation of possession. The article focuses on both the geographical variation and the interplay of syntax, semantics, and pragmatics. The analyses are based on data from direct recordings of 162 speakers from forty villages and on written questionnaire data from 103 of these speakers from thirty-seven villages. The analyses reveal clear geographical patterns for those constructions in which the possessor phrase precedes the possessum phrase within the entire construction. We propose to focus on the discursive-pragmatic properties of the possessor phrase to explain the fact that each of the observed dialects allows the possessor to precede the possessum. We provide evidence that referential anchoring, combined with the concept of accessibility, is the key to explaining the syntactic order within the used constructions."
Journal of Linguistic Geography,"This paper examines the variable weakening and deletion of /s/ in the Languedocian variety of Modern Occitan, with particular attention to how it has affected the system of plural marking in noun phrases. Using data from linguistic atlases, I demonstrate that /s/-lenition in this variety involves a stage of vocalization to [j]. I find that, where /s/ on the definite article has vocalized to [j], the immediately-preceding vowel of the definite article has undergone concomitant raising to [e]. This raising appears to preserve the difference between singular and plural despite the plural’s weakening /s/. I argue that these results support Labov’s (1994) hypothesis that the meaning of a weakening element may be transferred to a stable, co-occurrent one."
Journal of Linguistic Geography,"This paper demonstrates how the tools of dialect geography may fruitfully lend a new perspective to historical data in order to address the lingering questions left by previous analyses. A geographic examination of Survey of English Dialects data provides evidence in favor of a push-chain analysis of the Great Vowel Shift, in which the Middle English high-mid long vowels raised before the high long vowels were diphthongized. It is also demonstrated that the so-called “irregular” dialect outcomes, which have previously been cited as evidence for a lack of unity of the Great Vowel Shift, are no longer problematic when viewed in the light of a theory of dialect contact, and can in fact refine our understanding of the chronology and geographic extent of the shift itself."
Journal of Linguistic Geography,"This paper provides an account of the long vowel shift currently underway in the trans-statal Plautdietsch speech community. Placement of the shift within Labov’s typology of vowel shifts reveals a commonly overlooked development in Plautdietsch vowel movement, namely the centralization of mid-high back vowels which must have occurred before the breakup of the community into New and Old World groups. Shared centralization prompted both groups to have similar developments in the back vowel space after they were no longer geographically contiguous and prompted many groups to undergo centralization in the front vowel space. This case study reveals a pattern of innovation in which separation from parent communities fosters linguistic innovations in daughter communities. These innovations occur irrespective of the traditional Molotschna or Chortitza dialect affiliation of the daughter colonies in question."
Journal of Linguistic Geography,"Placenames are seemingly universal, with the potential to reveal different systems of organizing information in everyday communication. We report on the relationship between placenames in Jahai, an indigenous language spoken by the Jahai people of the Malay Peninsula, and the environment. Our approach explores the tendency to organize names using a hierarchy of kinship associated with the cnεl, mythological entities in origin stories, which appears to map onto catchment areas. By associating linguistic data with these ethnographic inputs and geographical properties calculated in a Geographic Information System, we generate and make suggestions for productive ways of understanding placenames as systems."
Journal of Linguistic Geography,"This study investigates the effect of differing representations of state boundaries on the draw-a-map task in perceptual dialectology in a region of the United States. The typical draw-a-map survey instrument represents state borders with solid lines. Would respondents react differently to maps with dashed-line state borders? More specifically, would respondents draw more dialect areas that cross state lines on maps with dashed-line state borders versus solid-line state borders? These questions are explored through two datasets, and similarities and differences emerge. For example, respondents of both map types draw more single-state dialect areas than multistate dialect areas, and respondents with dashed-line maps draw more dialect areas on average than respondents with solid state maps. While dataset 1 showed a significant association between map type and multistate dialect area with respondents using dashed-line border maps drawing more multistate dialect areas than respondents with solid-line maps, H (1) = 5.13, P = .017, this association was not significant in dataset 2, H (1) = .06, P = .798."
Journal of Linguistic Geography,"Describing specific dialect areas in terms of their lexis is an attractive idea now that the latest version of the English Dialect Dictionary Online ( EDD Online 3.0 , 2019) allows for quick and easy lexical retrievals of English dialect words of the Late Modern English period. This paper uses the Isle of Wight (I.W.) as a test case for putting such an idea into practice. The 137 words uniquely attributed in the EDD to I.W. are analyzed and interpreted in relation to the 1500-odd words used on I.W. alongside other areas of the UK. The paper informs the reader of the available query modes and discusses their pros and cons, quantifying and mapping the different numbers of isolated words in use on I.W. versus those unique to other English counties. The larger number of words that the island shared with the counties of the “mainland” will likewise be considered, thus allowing for first steps towards a “dialectometrical” analysis. The findings are related to the historical background of I.W., particularly in the 18th and 19th centuries."
Journal of Linguistic Geography,"This paper aims to understand the contribution of geographical information in the perception of linguistic variation. A total of 813 mental maps collected among young speakers from different cities in Tuscany have been analyzed via an open-access web dialectometric tool (Gabmap). In particular, the study seeks to verify the role of geographic distance and the place of residence of the respondents in modeling perceived variation. The relationship between dialect grouping as made by linguists and perceived taxonomies of sublinguistic areas is also investigated. Results show that geographical proximity between mapped areas significantly predicts the perception of dialect similarity. Our participants made their decisions looking at (1) a keen sense of spatial contiguity, and (2) the synchronic presence of linguistic differences between the Tuscan subregions. Moreover, classification uncertainty grows when the mapped areas are very close to, or very distant from, the participants’ places of residence. Methodological and linguistic perspectives of mental maps in folk linguistics are finally discussed."
Journal of Linguistic Geography,"The current study explored the relationship between participants’ label-based evaluations of six regional varieties in Enshi Prefecture, China, and their speech-based evaluations of talkers from these varieties using a label ranking task and a speaker evaluation task. The results revealed that under correct identification of talker dialect, participants’ evaluations of real talkers based on speech samples were different from their evaluations of ‘imagined’ county-based dialects, suggesting that speech-based talker evaluations are not solely governed by ideological values associated with dialects. Focusing on a small, understudied community in China, this study contributes to our understanding of the local language attitudes, and language use and maintenance in Enshi Prefecture. An integrated approach is needed to build a model of talker evaluation, which must include a complex set of linguistic, social cognitive, and situational objects. The current results suggest that the object(s) that primarily drives talker evaluations is not the talker’s dialect itself."
Journal of Linguistic Geography,"The methods of spatial statistics have been successfully applied to the study of linguistic variation, especially for detecting the existence of spatial patterns in the geographical distribution of linguistic features. However, the use of local indicators of spatial autocorrelation for detecting spatial clusters have been limited to continuous variables, and we propose to apply the new method of Anselin and Li (2019) for categorical variables to linguistic data. We illustrate this method with the case of Japanese rendaku , or sequential voicing, whose dialectal variation is still poorly documented. Focusing on regional differences in the frequency of rendaku, we examined the occurrence of rendaku for four lexemes in 4,921 place names from all Japan. A statistical analysis of local spatial association and an unsupervised density-based cluster analysis revealed the existence of two cluster areas of high rendaku frequency centered around Wakayama and Fukushima-Yamagata prefectures. This suggests that rendaku is more frequent in those dialects, and we recommend that further studies in the dialectal variation of rendaku start by looking at those areas."
Journal of Linguistic Geography,"Recent sociophonetic research has focused on the ways in which race and ethnicity influence language as well as how language is used to construct racial and ethnic identity. Comparisons of the speech of members of one ethnic group across different regions are still uncommon. In this study, fifty-one native American English speakers of Korean descent, hailing from three different dialect areas of the United States (Los Angeles County and Orange County, California; Harris County, Texas; and Gwinnett County, Georgia), were recorded speaking English in casual interviews. Their speech was analyzed for characteristics of local sound patterns in each region, including the Short Front Vowel Shift (California Vowel Shift) and the Southern Vowel Shift, as well as overall Vowel Space Area. All three groups showed evidence of the Short Front Vowel Shift, and none demonstrated the Southern Vowel Shift. The Californian speakers had the smallest vowel spaces, while the Georgian speakers had the largest. We relate these findings to the ways Korean Americans in Texas and California understand their ethnic identity vis-à-vis a kind of metropolitan or urban speech style in a highly multicultural environment, while, in comparison, Korean Americans in Georgia may use vowel space to highlight their orientation toward or away from local mainstream (white) cultural identity."
Journal of Linguistic Geography,"Variationist research has much to gain from deepening engagement with theories about place, defined as space imbued with social meaning. One challenge that variationists face is how to adapt the complex and multifaceted aspects of place orientation into a single measure that can be included in models of sociolinguistic variation. In this paper, I advocate for an ethnographic approach to place, providing an example from Greater New Orleans, where post-Katrina displacement has highlighted individual connections to place. Using an ethnographically informed multidimensional place orientation metric (MPOM), I examine two local linguistic features among speakers from the suburban town of Chalmette, Louisiana according to place orientation. Via statistical modeling and case study of individual speakers, I demonstrate the value of MPOMs in quantitative analysis of sociolinguistic variation, arguing for further theorization of place orientation in our research and providing a model for variationist sociolinguists interested in engaging more with place theory."
Journal of Linguistic Geography,"This article describes the results of a research project carried out over a period of 25 years on the spoken Irish Gaelic of the Aran Islands, Co. Galway, Ireland. It combines microdialectology with sociolinguistics and investigates a wide range of phonological, grammatical, and lexical variables. In addition to revealing complex patterns of geolinguistic variation involving small local areas on the main island and on neighboring islands, it also shows the clear influence of age, gender, and individual creativity on the patterns of variation."
Journal of Linguistic Geography,"This project uses GIS mapping to analyze spatial trends in spoken language, testing how features identified as part of the “Southern dialect” by the Atlas of North American English ( ANAE ; Labov et al., 2006) are used in the Digital Archive of Southern Speech (DASS; Kretzschmar et al., 2013). We analyze vowel mergers, diphthongization, monophthongization, fronting, and several consonantal features. Rather than drawing isoglosses, we use local spatial autocorrelation analysis to reveal subregional patterning in the data. We present a series of maps illustrating the realization of Southern speech features as enumerated by ANAE . We find little evidence for ANAE ’s Inland South region based on acoustics, and while some areas surveyed in DASS align well with the portrayal of Southern speech presented by ANAE , others do not."
Journal of Linguistic Geography,"This paper takes a quantitative perspective on data from the project Syntax hessischer Dialekte (SyHD), covering dialects in the German state of Hesse, an area with rich dialectal variation. Many previous dialectometric analyses abstracted away from intralocal variation (e.g., by only counting the most frequent variant at a location). In contrast, we do justice to intralocal variation by taking into account local frequency relations. The study shows that the border between Low German and Central German—one of the most important isoglosses in German dialectology—is not relevant for syntactic phenomena. At the same time, a comparison with character n -grams (a global measure of string similarity) reveals that the traditionally assumed dialect areas, primarily defined according to phonological developments, are still present in the twenty-first century data. Different from previous studies, our results are obtained from a uniform data base. Therefore, the differences between syntax and phonology cannot be due to variation in sampling, elicitation method, or time of elicitation."
Journal of Linguistic Geography,"This paper discusses the regional variation in four ongoing sound changes in the Dutch vowels /eː,øː,oː,ɛi,œy/ that are conditioned by a following coda /l/. The synchronic diatopic diffusion of these changes is charted using the Dutch teacher corpus, a comprehensive dataset containing word-list data from four regions in The Netherlands and four in Flanders. Comparisons are made of the five vowels preceding nonapproximant consonants and preceding coda /l/. To avoid manually segmenting the oftentimes highly gradient vowel–/l/ boundary, GAMMs are used to model whole formant trajectories. Comparisons are then made of trajectories and of peaks of trajectories. The results are used to classify the nature of the four sound changes in terms of phonetic and lexical abruptness/graduality and to show that the changes are intertwined in such a way that they can only be considered as separate facets of a single, currently ongoing vowel shift."
Journal of Linguistic Geography,"Last, half of Upper Midwesterners ought to get into this book: Written Grammatical Variation in the US - Regional Variation in Written American English By Jack Grieve Cambridge: Cambridge University Press, 2016. Pp. xi–335. ISBN 978-1-107-03247-7; 88.00 e-book) - Volume 4 Issue 2"
Journal of Linguistic Geography,"This paper identifies the main dialects within Nyamwezi, a Bantu language of Tanzania, and clarifies the historical relationship between these Nyamwezi (F.22) dialects and Sukuma (F.21). I claim, contrary to the conventional wisdom regarding these languages, that a rough linguistic border exists, which separates the Nyamwezi varieties from Sukuma. By implication, Sukuma and Nyamwezi do not exist in a dialect continuum with one another, and the Ndala lect described in Maganga and Schadeberg (1992) should be considered Sukuma. These claims are supported by primarily lexical and phonological evidence gathered during recent surveys conducted by SIL International. Furthermore, Batibo's (2000) relative chronology of the main innovations considered in this present study (* c /* j fricativization, Bantu spirantization, Dahl's Law, and * p -lenition) is re-examined in light of this new evidence. This paper demonstrates how diachronic dialectology can shed light on the dualistic processes of divergence and convergence in Bantu, and the resulting spread of linguistic innovation."
Journal of Linguistic Geography,"Texas German is a new world language variety that shows some evidence of koiné development but also presents with substantial variation at many levels of structure. I present a case study on the variant pronunciation of sibilants in Texas German consonant clusters. This feature is fairly frequent and found throughout the regions of German settlement in Central Texas. After a discussion of the presence of this feature in the donor dialects, I investigate the factors that correlate with variation in the modern language. From an analysis of local and global spatial autocorrelation, I argue that variation is not significantly associated with particular geographic regions and is compatible with stable and homogenous variation. This provides insight into our understanding of new dialect emergence and the mechanisms by which dialect features are leveled over multiple generations."
Journal of Linguistic Geography,"Studies on the correlations between spatial distribution of linguistic varieties and genetic structure of populations began by dealing with geographic spaces and extensive linguistic families. In the last two decades, researchers with this type of interdisciplinary approach have also begun to study more reduced linguistic and population domains. This paper examines geolinguistic and onomastic information in a linguistic and administrative space of a limited extension of the Principality of Asturias. The information on the surnames of this region, taken from the inhabitants’ register, is used to identify surname regions and check correlations with dialect areas described in this space. The results obtained in this research show many similarities in the distribution of surname regions with dialect areas recognized by traditional dialectology studies. The conclusions of the study present the results obtained together with some of the explanatory proposals on the historical constitution of the linguistic diversity of this area."
Journal of Linguistic Geography,"This paper investigated origin identification in Jiangsu province, China. In total, ten localities were involved, including nine from Jiangsu province and the city of Beijing. Listeners were presented with recordings of forty speakers (four speakers from each locality) speaking local Mandarin and were asked to identify the region of origin of the speaker and score their Mandarin. Results revealed significant effects of speaker dialect and listener dialect in the identification of speaker origin. Firstly, listeners were able to make distinctions between speakers of Jiangsu province dialect and speakers of non-Jiangsu province dialect (Beijing speakers). Secondly, listeners from Jiangsu province were significantly better than non-Jiangsu listeners at correctly identifying the origin of speakers. In addition, we found significant effects of speaker gender, speaker dialect proficiency, listener dialect proficiency, and speaker Mandarin rating on the identification accuracy of speaker origin in individual analyses of dialect areas."
Journal of Linguistic Geography,"This paper investigates German /l/-vocalization in the dialect region of South/Central Bavarian. In Austria, /l/-vocalization is said to be restricted to Central Bavarian, constituting the most salient dialect feature. However, its existence within the transition zone of South/Central Bavarian, including the urban and surrounding area of Graz, is often assumed. By analyzing natural speech data of different age groups from Greater Graz in a formal and an informal communication situation, we see that /l/-vocalization is already a well-established phenomenon, whereby the older age-group vocalizes considerably more often than the younger one. This suggests that /l/-vocalization serves as a sociolinguistic rather than a dialect marker indicating regional identity."
Journal of Linguistic Geography,"This article presents the results of an interdisciplinary project that explores street name changes in Leipzig, a city in eastern Germany, over the past one-hundred years. Our analysis focuses on the ways in which semantic choices in the streetscape are recruited to canonize traces of the national past that are “supportive of the hegemonic socio-political order” (Azaryahu, 1997:480). We triangulate results from variationist sociolinguistics, Linguistic Landscape (LL) studies and geographical analysis to visualize waves of street (re)naming during a century of political turmoil. Drawing on historical archival data allows us to interpret spatial and temporal patterns of odonymic choices as the public embodiment of subsequent political state ideologies. The analysis provides quantitative and longitudinal support to Scollon and Scollon’s (2003) claim that the indexing of officially sanctioned identity and ideology as well as the appropriation of human space are performed by and in turn index state-hegemonic politics of memory."
Journal of Linguistic Geography,"Who as a restrictive relativizer in English is an old change from above. In urban dialects, it still acts as a prestige form, whereas it is infrequent or negligible in rural British and American varieties. We compare earlier findings from Toronto, the largest city in the province of Ontario (D’Arcy &amp; Tagliamonte, 2010), with a range of communities from the Ontario Dialects Project (Tagliamonte, 2003–present). While none of the rural locations has as much who as Toronto, there is a substantial range. Regions along the major highways to the north and east of the city have more who , while the smaller towns in less accessible locations have less, consistent with a Cascade Model effect (Labov, 2003). Nonetheless, who shows evidence of diffusion, increasing in apparent time in recent decades. We suggest that this reflects overt pressure from above, consistent with the enduring role that prestige plays in English relativizer variation."
Journal of Linguistic Geography,"Phonetic spelling was common practice in English dialect texts until the API (English: IPA), in 1893, launched its normative signs of transcription. Nevertheless, phonetic spellings have rarely been studied, the least in dialects. This paper ventures to trace some of the immanent norms and the sound functions of some phonetic spellings in the Isle of Wight during the Late Modern English period. The investigation is mainly based on data retrieved from EDD Online , which allows for sophisticated aggregate queries so that spelling practices can be quantified and mapped. The paper focuses on spellings unique to the island, such as double a, e , and o before another vowel, that is, in diphthongs, and u -spellings for schwa in posttonic syllables. The figures for non-unique features, such as voicing of fricatives, are normalized and allow for correlation to other counties. In sum, the Isle of Wight accent was marked by its typical “drawl.”"
Journal of Linguistic Geography,"This analysis examines the ways in which a single speaker, Ana, born in mid-century East Los Angeles, organizes and reflects upon her experiences of the city through language. Ana’s story is one that sheds light on the experiences of many Mexican Americans who came of age at a critical time in a transitioning L.A., and the slow move of people who had been up until mid-century relegated largely in and around racially and socioeconomically segregated parts of L.A. These formative experiences are demonstrated to have informed the ways that speakers parse the social and geographical landscape along several dimensions, and this analysis interrogates the symbolic value of a special category of everyday language, deixis , to reveal the intersection between language and social experience in the cityscape of L.A. In this way, it is analytically possible to not only approach the habituation and reproduction of specific deictic fields as indexical of the ways that speakers parse the city, but also to demonstrate the ways in which key moments in the history of the city have shaped the emergence and meaning of those fields."
Journal of Linguistic Geography,"Language documentation has been carried out in Iran since the late 1800s but in a sporadic way, and even now, the scholarly picture of the country’s linguistic landscape is fragmentary. The present article responds to this state of affairs in a modest way by working toward a systematic overview of the language situation in one area of the country: Chahar Mahal va Bakhtiari Province of western Iran, where the high Zagros Mountains open onto the Iranian Plateau. In this study, conducted in the context of the Atlas of the Languages of Iran (ALI) research programme, we chronicle our research process for this region, beginning with an inventory of languages spoken here—varieties of Bakhtiari, Charmahali, and Turkic—and an overview of their geographical distribution. This initial step enabled us to select 30 varieties from 26 locations across the province for in-depth research, including implementation of the ALI language data questionnaire. Data generated by the study have resulted in two language distribution maps as well as a series of linguistic structure maps. Initial analysis of lexical and phonological data provides insight into defining features of each language as well as structures shared between them as a result of language contact in the region."
Dialectologia et Geolinguistica,"German-speaking Switzerland can certainly be regarded as one of the liveliest and at the same time best researched dialect areas in Central Europe. It is all the more surprising that dialectometric analyses in this area have only recently been performed and none of them included an investigation into the level of syntax. In this paper we pursue two goals: First, we present digital data that has been made available in recent years on the basis of the Sprachatlas der deutschen Schweiz (SDS) and the Syntaktischer Atlas der deutschen Schweiz (SADS). Our second goal is to present dialectometric analyses performed with this data. A special focus is put on the comparison of different linguistic levels (lexis, phonology, morphology and syntax). Our methods include hierarchical cluster analyses (of the whole dataset as well as of the linguistic levels), correlations (between pairs of linguistic levels and between linguistic levels and geography) and parameter maps which allow us to draw conclusions about the distributions of innovative and conservative regions, dialect centers and transition zones. Our results show that while all four levels generally yield similar geographic patterns (dynamic areas in the North vs. conservative areas in the South, agreement of dialect and cantonal borders, high correlations with geography), syntax deviates most from the other levels."
Dialectologia et Geolinguistica,"In this paper a range of methods for measuring the phonetic distance between dialectal variants are described. It concerns variants of the frequency method, the frequency per word method and Levenshtein distance, both simple (based on atomic characters) and complex (based on feature bundles). The measurements between feature bundles used Manhattan distance, Euclidean distance or (a measure using) Pearson’s correlation coefficient. Variants of these using feature weighting by entropy reduction were systematically compared, as was the representation of diphthongs (as one symbol or two). The dialects were compared with each other directly and indirectly via a standard dialect. The results of comparison were classified by clustering and by training of a Kohonen map. The results were compared to wellestablished scholarship in dialectology, yielding a calibration of the methods. These results indicate that the frequency per word method and the Levenshtein distance outperform the frequency method, that feature representations are more sensitive, that Manhattan distance and Euclidean distance are good measures of phonetic overlap of feature bundles, that weighting is not useful, that two-phone representations of diphthongs mostly outperform one-phone representations, and that dialects should be directly compared to each other. The results of clustering give the sharper classification, but the Kohonen map is a nice supplement."
Dialectologia et Geolinguistica,"The aim of the present investigation 1 was to get an impression of the geographic influences on the dialectal variation in a country. In previous investigations, the correlations between linguistic distances and geographic distances using dialect data from the Netherlands and Norway were calculated (Gooskens and Heeringa 2004, Nerbonne et al. 1996). The results showed a high correlation in the case of Dutch data while the correlation was considerably lower in the case of Norwegian data. This seems to reflect the fact that especially for Norway the direct distance between two settlements does not reflect the difficulty of travel and therefore social contact, which is expected to play a role in keeping linguistic distance within limits. Holland is a country with a flat, regularly populated landscape with few natural obstacles such as mountains and rivers. This is in great contrast with Norway with its high mountains and many fjords which made it quite difficult to travel between places, especially in the past. These differences in geographical situations are clearly reflected in the correlations between the linguistic and geographical distances between the dialects of the two countries. The present investigation is searching for more successful ways of predicting linguistic distances by means of geographic distances in Norway. To this end, old and new traveling data were used providing information about traveling times by road, train, and boat between the places where the different dialects are spoken. The results show that a large part of the linguistic variation can be accounted for by geography in Norway, just as in the Netherlands. However, in the case of a geographically more compli"
Dialectologia et Geolinguistica,"The Majorcan dialectologist Antoni M. Alcover (1862–1932) was the first researcher to record information for use in the study of the conjugation of Catalan verbs. He compiled almost 500,000 verb forms corresponding to the complete conjugation of 75 verbs in 149 localities in the Catalan-speaking area. These data were published under the title “La flexió verbal en els dialectes catalans”. From 1999, work began to complete and computerize these materials in order to make them accessible to scholars in the field and to the public. These computer applications have a descriptive character: they show dialectal and subdialectal areas, and isoglosses, in a graphic form. However, it is also possible to use these materials from an interpretative point of view. The aim of this paper is to apply a suitable dialectometric analysis to the “Verbal flexion” materials, which can only be interpreted using quantitative analysis techniques. Taking multiple answers into account, we use the calculation of the Mean Degree of Confluence and we compare the results with the dialectometric analysis obtained applying Hans Goebl's methodology, which is based on the use of single answers."
Dialectologia et Geolinguistica,"The major aim of this paper is to demonstrate through the grammar of the verb phrase in Standard English (StdE) and Nigerian Pidgin English (NPE) that NPE is a distinct language. The paper draws on data collected from 30 Nigerian University Graduates from three ethnolinguistic regions. Although many scholars have pointed out that NPE is a language (Agheyisi, West African Pidgin: Simplification and Simplicity, University of Stanford, 1971; Elugbe and Omamor, Nigerian Pidgins: Background and Prospects, Heinemann, 1991), not many of them have examined the verb phrase in NPE with a view to showing that its grammar is distinctive. It has been shown in this paper that the NPE verb phrase is sharply different from StdE verb phrase, and because the verb is at the centre of the clause and can determine its argument, it can be argued that NPE whose verbal grammar is radically different from that of English is a separate language. The pattern of clustering of NPE verb phrases with other NPE verb phrases or other crieterial features of NPE is also a demonstration that NPE is a distinct language. Finally, the subjects made sharp switches from StdE to NPE, speaking in blocks of first one code and then the other: this is like the behaviour of bilinguals moving from one language to another."
Dialectologia et Geolinguistica,"Given its early date, breadth of coverage (geographical and linguistic) and the huge amount of data it contains, Alexander Ellis's The Existing Phonology of English Dialects marks an extremely significant episode in British dialectology. Despite this, there has been very little in the way of detailed linguistic analysis of Ellis’s survey, and no attempt has been made to construct a linguistic atlas from the data it contains, although several studies have included a few preliminary maps based on it. Why is this so, and what might we discover if we did investigate this early survey of the dialects of English and Scots in more detail? The aim of this paper is to begin such an investigation and, in particular, to demonstrate that there is considerable mileage (and benefit) in mapping the data in Ellis (1889)."
Dialectologia et Geolinguistica,"The traditional focus of (German) dialectology has been on spatial patterns observed in phonology. However, dialectometric approaches have generated interest in exploring geographical structures in other linguistic subsystems, including morphology. Building on this research, this study investigates geolinguistic patterns of dialect morphology in contemporary Austrian dialects using aggregative and non-aggregative measures, such as Principal Component Analysis (PCA), Multidimensional Scaling (MDS), and Cluster Analysis (CA). Data are based on a comprehensive dialect survey with 163 speakers from 40 locations across Austria, examining 120 linguistic variables related to inflection. The results show a clear geographic structuring of morphological variation, which significantly differs from traditional dialect classifications. The analysis of the linguistic basis of the geographical patterns suggests that these differences might be ascribed to methodological factors and language change. Methodologically, it is also demonstrated that the findings of aggregative and non-aggregative methods are complementary, not contradictory. Ultimately, the study underscores the importance of integrating diverse methods to gain a comprehensive understanding of geographical patterns in dialect variation."
Dialectologia et Geolinguistica,"Dialect atlases comprise considerable numbers of linguistic feature maps, i.e. dialect maps representing one linguistic feature each. Large amounts of data like these are often difficult to handle. This article presents a new quantitative method for the automatic analysis of such large corpora of linguistic feature maps. It makes use of geographical similarities between single maps to establish a system of criteria for structural relatedness. Furthermore, it employs statistical techniques to test whether given linguistic relations between the maps coincide significantly with structural relations. To achieve this, each underlying point-symbol map is converted into an area-class map (with all the original information still available). These area-class maps yield additional information regarding their structural composition. Cluster analysis is then employed to obtain groupings of similar maps. Such groupings facilitate the search for language-internal factors that influence the geographical distribution of linguistic variants, as the relevance of any given linguistic parameter for spatial patterns can be tested using statistical methods. Moreover, language-external factors, such as topographical conditions, can be tested in the same way. Thus, this new method allows for a profound and substantiated investigation of the regularities that can be found in the geographical distributions of linguistic variants."
Dialectologia et Geolinguistica,"How do speakers of current Turkish and Moroccan ethnolects of Dutch deal with phonemes that do not exist in their heritage languages and that are at the same time subject to pronounced regional and social variation in the Dutch speech community at large, such as the Dutch diphthong /εi/? This diphthong does not occur in Turkish and Berber and it occurs only as a dialectal allophone in certain dialects of Moroccan Arabic. Data from speakers from the Amsterdam and Nijmegen urban areas are studied. In the Amsterdam dialect, the diphthong is traditionally subject to monophthongization and lowering, yielding realizations as [a:] or [a:], while in Nijmegen the diphthong is only subject to monophthongization, resulting in the variant [ε:]. Recently, a new lowered, diphthongal variant [ai] entered colloquial spoken standard Dutch. Therefore, ethnolect speakers have a wide range of variants to ‘choose’ from: the traditional standard Dutch variant [εi], the new variant [ai], which is expanding areally and socially, and the monophthongal variants of the surrounding urban dialects. Two variable properties of /εi/ are examined: (1) height of the prominent first element, and (2) the degree of monophthongization. The urban dialect features which had developed into sociolect features over the past generations appear to be undergoing social redistribution to become ethnolect markers."
Dialectologia et Geolinguistica,"Ternary deictic system in Aromanian Adverbs of place of the type here, there, which form a binary system met in many languages, can be considered as local or spatial deictic elements. In Ibero-Romance languages (Spanish, Portuguese, and Catalan) a ternary deictic system appears which, regionally, can be found in dialects of the Romanian language, i.e. Aromanian and Dacoromanian. This paper deals with the spatial deictic system using three terms in Aromanian and comparing them to the Romance and Balkan (Albanian) languages; this information is compared with the situation observed in another local dialect. The presence of the ternary deictic system in some Romance languages, as well as in Slavic ones and in Albanian, around which Aromanian developed (especially the Fãrşerot local dialect), proves that there is a Romance tendency developed within the Balkan context in Aromanian, too."
Dialectologia et Geolinguistica,"The article focuses on some intonational features of three Romance languages spoken in northern Sardinia (Algherese Catalan, Logudorese Sardinian, and the Sardinian regional variety of Italian). The first part of the article shows, by means of both qualitative and quantitative analyses, that the above-mentioned languages share some intonational features that are not present in the dialects of Catalan and Italian spoken in the Iberian Peninsula and the Italian Peninsula, respectively. In the following sections the article puts forward a diachronic explanation for this intonational convergence, basing on the role of Sardinian as a substrate language for both Algherese Catalan and the regional Italian of Sardinia. The final part of the article proposes a generalization of the findings of the case-study and puts forward a diachronic model of prosodic transfer that includes the mechanisms of direct transfer, fusion, and accommodation."
Dialectologia et Geolinguistica,"Coda-final consonant deletion has been extensively documented in Eastern Andalusian Spanish; however, its effects on neighbouring segments is still unknown. Scholars working on consonant deletion in Eastern Andalusian Spanish have mainly focused on /s/, given the semantic importance of this consonant in Spanish. As a result, other consonants which are often deleted syllable-finally in this geolect have been studied to a much lesser degree. The present paper aims to expand the traditional view on vowel doubling by analysing /-s/, /-r/, and /-Ɵ/ deletion before /a/. Firstly, the speech of 24 speakers from El Ejido (Eastern Andalusia) is analysed to ascertain how the deletion of word final /s/, /r/, and /Ɵ/ changes the quality of a preceding /a/. Secondly, a perception test is carried out with native speakers from the local area to confirm whether these speakers can differentiate perceptually between word-final /a/ and /a/ preceding underlying /-s/, /-r/, or /-Ɵ/. This paper presents two main conclusions: 1) /-s/, /-r/, and /-Ɵ/ deletion changes the quality of a preceding /a/ to different degrees; 2) EAS speakers can identify whether /a/ is followed or not by an underlying /-s/, /-r/, or /-Ɵ/, but they cannot identify which consonant has been deleted in each case."
Dialectologia et Geolinguistica,"This article reports on a qualitative study of people‟s perceptions of dialect differences and similarities in part of North East England. Its main objective is to add to an understanding of the influence of geographical, social and cultural factors on the placing of subjective dialect boundaries. It does this in the context of a widely remarked upon inter-city rivalry within the region."
Dialectologia et Geolinguistica,"Galician and Portuguese have a common origin. This genetic affiliation is not accompanied by any historical continuity (Monteagudo 2012: 38), as these language varieties were separated in a distant past, mainly through the establishment of a political and administrative boundary between their territories. This lack of contact is interesting when studying common and divergent linguistic phenomena, in particular in the field of prosody and intonation, as it presupposes a challenge to historical study, given that we only recently have sound recordings of speech. Our proposal is therefore to contribute towards a diachronic study of the intonation of absolute interrogatives in Galician and Portuguese by using synchronic data collected over the past decade. We aim to show the usefulness of the quantitative method of measuring prosodic distances, because it enables us to determine geographic areas using common standards and shows the degree of separation between the intonations of the two varieties."
